context,question,A,B,C,D,result
Thường_xuyên khám cổ tử_cung thường_xuyên nhằm phát_hiện sự tăng_trưởng sớm của polyp . Nên dùng đồ lót bằng chất cotton nhằm giúp không_khí thông_thoáng và ngăn_ngừa được nhiệt_độ cũng như độ_ẩm quá mức quy_định . Quan_hệ đúng cách và sử_dụng bao_cao_su . Thăm_khám sức_khoẻ định_kỳ và làm Pap tầm soát ung_thư cổ tử_cung . nan . nan . nan . nan .,"Phần_lớn polyp cổ tử_cung lành_tính , nhưng khoảng 1 % trường_hợp chuyển dạng ác_tính . Vậy biện_pháp nào nên được thực_hiện thường_xuyên nhằm phát_hiện sự tăng_trưởng sớm của polyp ?",Khám cổ tử_cung .,Sờ tay vào phần bụng gần tử_cung .,Quan_sát bằng mắt thường .,Nhờ người_thân kiểm_tra .,A.
"Để phòng_ngừa bệnh đau cổ vai gáy có_thể kể đến một_số biện_pháp sau : Có chế_độ tập_luyện thể_dục thể_thao phù_hợp , lựa_chọn các bài_tập vừa sức , phù_hợp với sức_khoẻ của bản_thân . Cần có chế_độ làm_việc hợp_lý , nên vận_động và nghỉ giải_lao khi ngồi lâu . Có tư_thế đúng khi ngồi đọc sách , học bài , đánh_máy , cổ luôn thẳng , không cúi gập cổ quá lâu . Có chế_độ dinh_dưỡng phù_hợp , cần ăn_đủ chất , bổ_sung một_số khoáng_chất thiết_yếu cho cơ_thể như : như canxi , kali , các vitamin nhóm B , C , E. nan . nan . nan . nan .","Chị Lan là nhân_viên văn_phòng thường_xuyên phải sử_dụng máy_tính làm_việc , do_đó chị rất lo_lắng bản_thân có nguy_cơ mắc bệnh đau cổ vai gáy . Để phòng_ngừa bệnh đau cổ vai gáy chị Lan không nên thực_hiện biện_pháp nào sau đây ?",Có tư_thế đúng khi ngồi đánh_máy tính .,"Bổ_sung Canxi , Kali .",Tập_thể dụng với cường_độ mạnh .,Nghỉ giải_lao khi ngồi lâu .,C.
"Ung_thư tiền_liệt_tuyến ( ung_thư tuyến_tiền_liệt ) đứng thứ 12 trong các bệnh ung_thư phổ_biến thường gặp ở nam_giới tại Việt_Nam . Cũng như các bệnh ung_thư khác , ung_thư tiền_liệt_tuyến không lây . Thời_gian sống của bệnh_nhân ung_thư tiền_liệt_tuyến phụ_thuộc lớn vào giai_đoạn phát_hiện . Nếu được phát_hiện và điều_trị sớm thì ung_thư tiền_liệt_tuyến có_thể đạt được tỷ_lệ sống sau 5 năm lên tới 100 . nan . nan . nan . nan .","Ung_thư biểu mô tuyến ở tuyến_tiền_liệt là loại ung_thư không ngoài da phổ_biến nhất ở nam_giới 12 . 50 tuổi tại Hoa_Kỳ . Tại Hoa_Kỳ , có khoảng 248 . 530 trường_hợp mới và khoảng 34 . 130 ca tử_vong ( ước_tính năm 2021 ) xảy ra mỗi năm . Vậy đâu là những phát_biểu đúng để làm rõ hơn về độ ảnh_hưởng và tính liên_quan của bệnh ung_thư tiền_liệt_tuyến ?",Bệnh xuất_hiện phổ_biến ở cả nam_giới và nữ_giới tại không_chỉ Việt_Nam mà_còn nhiều quốc_gia khác .,Bệnh xuất_hiện phổ_biến ở nam_giới tại không_chỉ Việt_Nam mà_còn nhiều quốc_gia khác .,Nếu được phát_hiện và điều_trị sớm thì ung_thư tiền_liệt_tuyến có_thể đạt được tỷ_lệ sống sau 5 năm lên tới 100 .,Nếu được phát_hiện và điều_trị sớm thì ung_thư tiền_liệt_tuyến có_thể đạt được tỷ_lệ sống sau 5 năm lên tới 75-70 cm .,"B , C."
"Nguyên_nhân gây viêm cân gan chân bao_gồm những tác_nhân tác_động làm chấn_thương lên cơ gan bàn_chân . Những tổn_thương này làm kéo căng gân cơ bàn_chân , mất tính đàn_hồi , giảm khả_năng chịu lực của gân cơ gan bàn_chân . Áp_lực của cơ_thể do đi_lại nhiều , đứng lâu hoặc sử_dụng giày_dép đế quá cứng trong thời_gian kéo_dài cũng là nguyên_nhân gây viêm cân gan chân . nan . nan . nan . nan .","Sau khi đi khám bệnh ở trung_tâm y_tế gần nhà thì ông Thành được bác_sĩ chẩn_đoán mắc bệnh viêm cân gan chân . Bên cạnh đó , bác_sĩ cũng cho ông Thành biết về các thông_tin về nguyên_nhân của bệnh viêm cân gan chân . Vậy trong các ý_kiến dưới đây , ý nào sau đây không đúng khi nói về các nguyên_nhân gây nên bệnh viêm câm gan chân ?","Áp_lực của cơ_thể do đi_lại nhiều , đứng lâu .","Tai_nạn trong sinh_hoạt như nhảy từ trên cao xuống , trơn trượt .",Sử_dụng giày_dép đế quá cứng trong thời_gian kéo_dài .,"Ngã do vật cản , tai nạn hoặc do bề mặt trơn , ẩm .","B , D."
"Vàng da bệnh_lý cảnh_báo bệnh gì ? Vàng da bệnh_lý có_thể do những nguyên_nhân sau gây ra : Bất_đồng nhóm máu mẹ_con ( ABO , Rhesus ) Bệnh_lý tán huyết ( thiếu men G6PD , hồng_cầu hình liềm , nhiễm_trùng ) Xuất_huyết dưới da . Chậm đi phân su . Nhiễm_trùng bào_thai . Bệnh_lý gan mật bẩm_sinh ( teo đường mật , giãn đường mật ) . nan . nan . nan . nan .","Bệnh vàng da là bệnh do rất nhiều nguyên_nhân gây ra , thường là do các vấn_đề về đường_huyết . Vậy ngoài vấn_đề về máu thì nguyên_nhân nào của nội_tạng gây ra bệnh_lý vàng da ở người ?",Bệnh_lý gan mật bẩm_sinh .,Nhiễm_trùng bào_thai .,Xuất_huyết dưới da .,Chậm đi phân su .,A.
"Chẩn_đoán mất thính_lực có hai bước : Kiểm_tra thính_giác . Kiểm_tra thính_giác đầy_đủ . Kiểm_tra thính_giác . Kiểm_tra thính_giác là một xét_nghiệm để biết mọi người có_thể bị mất thính_lực hay không . Kiểm_tra thính_giác rất dễ_dàng và không gây đau_đớn . Trên thực_tế , trẻ sơ_sinh thường ngủ trong khi được kiểm_tra và chỉ mất một thời_gian rất ngắn , thường chỉ vài phút . Trẻ sơ_sinh : tất_cả trẻ sơ_sinh không quá 1 tháng tuổi nên được kiểm_tra khiếm_thính . Tốt nhất trẻ sơ_sinh nên được sàng_lọc thính_lực trước khi rời bệnh_viện sau khi sinh . Nếu em bé không vượt qua được kiểm_tra thính_giác , điều rất quan_trọng là phải kiểm_tra thính_giác đầy_đủ càng sớm càng tốt , nhưng không muộn hơn 3 tháng tuổi . Trẻ lớn hơn và trẻ_em : Nếu nghĩ rằng một đứa trẻ có_thể bị mất thính_lực , nên đến bác_sĩ để kiểm_tra thính_giác càng sớm càng tốt . Trẻ_em có nguy_cơ bị mất thính_giác hoặc chậm phát_triển nên có ít_nhất một bài kiểm_tra thính_giác từ 2 đến 2 tuổi rưỡi . Mất thính_giác trở_nên tồi_tệ hơn theo thời_gian được gọi là mất thính_giác hoặc mất thính_giác tiến_triển . Mất thính_giác xuất_hiện sau khi em bé được sinh ra được gọi là mất thính_lực khởi_phát muộn . Nên tìm_hiểu xem một đứa trẻ có_thể có nguy_cơ bị mất thính_lực hay không . Nếu một đứa trẻ không vượt qua được bài kiểm_tra thính_giác , bài kiểm_tra thính_giác đầy_đủ nên được thực_hiện càng sớm càng tốt . Kiểm_tra thính_lực đầy_đủ . Tất_cả trẻ_em không vượt qua kiểm_tra thính_giác nên được kiểm_tra thính_lực đầy_đủ . Thử_nghiệm này cũng được gọi là đánh_giá thính học . Một chuyên_gia thính học được đào_tạo để kiểm_tra thính_giác , sẽ làm bài kiểm_tra thính_giác đầy_đủ . Ngoài_ra , chuyên_gia thính học cũng sẽ đặt câu hỏi về tiền_sử sản_khoa , nhiễm_trùng tai và mất thính_giác trong gia_đình . Có rất nhiều loại xét_nghiệm có_thể làm để tìm_hiểu xem một người bị mất thính_lực , mất thính_lực bao_nhiêu và loại gì . Các bài kiểm_tra thính_giác rất dễ_dàng và không gây đau_đớn . Một_số xét_nghiệm có_thể sử_dụng bao_gồm : Thử_nghiệm phản_ứng não bộ thính_giác ( ABR ) hoặc thử_nghiệm phản_ứng kích_thích thính_giác ( BAER ) . Phản_ứng não bộ thính_giác ( ABR ) hoặc phản_ứng kích_thích thính_giác ( BAER ) là một thử_nghiệm kiểm_tra phản_ứng não bộ đối_với âm_thanh . Thử_nghiệm phát_âm thanh ( OAE ) : là một thử_nghiệm kiểm_tra phản_ứng của tai trong đối_với âm_thanh . Đánh_giá thính_lực học_hành vi : phương_pháp này sẽ kiểm_tra cách một người phản_ứng với âm_thanh tổng_thể . Đánh_giá thính_lực hành_vi kiểm_tra chức_năng của tất_cả các bộ_phận của tai . Người được kiểm_tra phải tỉnh_táo và chủ_động trả_lời những âm_thanh nghe được trong quá_trình kiểm_tra . nan . nan . nan . nan .","Hiện_nay việc chẩn_đoán bệnh mất thính_lực có rất nhiều biện_pháp , một trong số đó là xét_nghiệm . Có_thể dùng xét_nghiệm nào dưới đây để kiểm_tra xem người khám có bị mất thính_lực hay không ?",ABR .,BAER .,OAE .,AOE .,"A , B , C."
"Polyp mũi có_thể là bẩm_sinh hoặc phát_triển trong quá_trình trưởng_thành . Bệnh này không_thể phòng_ngừa tuyệt_đối được . Tuy_nhiên , có_thể giảm nguy_cơ phát_triển hoặc tái_phát polyp mũi bằng các biện_pháp sau : Kiểm_soát các bệnh hen phế_quản và dị_ứng . Tránh xa môi_trường có các chất kích_thích mũi , các chất có khả_năng gây viêm hoặc kích_ứng mũi và xoang như khói thuốc , bụi . Vệ_sinh tay thường_xuyên bằng xà_phòng để tránh lây_nhiễm vi_khuẩn hoặc virus gây viêm mũi và xoang . Dùng nước muối sinh_lý để vệ_sinh mũi và xoang hàng ngày . Nước muối có_thể giúp giảm viêm trong mũi cũng như làm khô chất nhầy đang gây nghẹt mũi . Muối còn giúp làm chậm quá_trình sản_sinh chất gây viêm adiponectin trong cơ_thể . Tăng_cường hệ_miễn_dịch bằng chế_độ sinh_hoạt lành_mạnh : Ngủ đủ giấc , áp_dụng chế_độ ăn cân_bằng và tập_thể_dục thường_xuyên . nan . nan . nan . nan .",Polyp mũi có_thể là bẩm_sinh hoặc phát_triển trong quá_trình trưởng_thành . Bệnh này không_thể phòng_ngừa tuyệt_đối được . Biện_pháp phòng_ngừa tăng_cường hệ_miễn_dịch bằng cách nào dưới đây ?,Ngủ đủ giấc .,Áp_dụng chế_độ ăn cân_bằng .,Tập_thể_dục thường_xuyên .,Thức khuya .,"A , B , C."
"Các yếu_tố nguy_cơ dẫn đến nhiễm_trùng đường hô_hấp trên bao_gồm : Tiếp_xúc với người_bệnh . Không rửa tay sau khi tiếp_xúc với người_bệnh . Tiếp_xúc với trẻ_em ở trường_học , hoặc một nhóm người ở nơi làm_việc , du_lịch . Hút thuốc hoặc hút thuốc thụ_động : khói thuốc làm giảm khả_năng bảo_vệ của lớp nhầy niêm_mạc đường hô_hấp và làm hỏng lớp nhung mao ở đường hô_hấp trên . Các trường suy_yếu miễn_dịch như bệnh_nhân có HIV , ghép tạng , sử_dụng corticoid dài ngày . Những bệnh_nhân có bất_thường về giải_phẫu , sinh_lý đường hô_hấp như chấn_thương vùng mặt , chấn_thương đường hô_hấp trên , polyp mũi . nan . nan . nan . nan .",Căn_bệnh viêm đường hô trên được lây_lan bằng con đường hô_hấp . Vậy nguyên_nhân chính gây nhiễm_trùng đường hô_hấp trên là gì ?,Tiếp_xúc với người_bệnh .,Tiếp_xúc với trẻ_em .,Tiếp_xúc với người nhiễm HIV .,Tiếp_xúc với người sử_dụng corticoid .,A.
"Vì_vậy việc dự_phòng hoại_tử chỏm xương đùi đòi_hỏi mỗi người chúng_ta cần_thiết lập cho mình chế_độ sinh_hoạt lành_mạnh , thể_lực vừa sức , đều_đặn và đặc_biệt tránh các yếu_tố nguy_cơ có_thể loại_bỏ được như rượu_bia , thuốc_lá , corticoid . nan . nan . nan . nan .","Càng về già chú Long lại càng quan_tâm lo_lắng cho sức_khoẻ của bản_thân bởi giờ_đây không còn được khoẻ_mạnh như trước_đây , mắc bệnh nữa lại càng mệt . Chú đặc biết chú_ý đến Hoại_tử chỏm xương đùi . Gần chú cứ hỏi_thăm phòng_bệnh từ trung_tâm y_tế . Là một cán_bộ tại trung_tâm , hãy giới_thiệu cho chú các biện_pháp phòng_tránh .",Tránh rượu_bia .,Không dùng thuốc_lá .,chế_độ sinh_hoạt lành_mạnh .,Sử_dụng corticoid cho bổ_dưỡng .,"A , B , C."
"Ít_nhất 5 % nang nước thừng tinh ở trẻ sơ_sinh , đặc_biệt những trẻ sinh non có nguy_cơ mắc nang nước thừng tinh cao hơn so với những trẻ đẻ đủ tháng . Các yếu_tố rủi_ro để phát_triển nang nước thừng tinh sau_này trong cuộc_sống bao_gồm : Chấn_thương hoặc viêm đến bìu . Nhiễm_trùng , bao_gồm nhiễm_trùng lây qua đường tình_dục ( STI ) . nan . nan . nan . nan .",Bệnh nang nước thừng tinh làm cho bìu bị phình to do chất_lỏng tích_tụ trong lớp vỏ mỏng bao quanh tinh_hoàn . tỷ_lệ trẻ sơ_sinh mắc bệnh này là bao_nhiêu phần_trăm ?,> = 2 .,> = 3 .,> = 4 .,> = 5 .,D.
"Siêu_âm doppler tim : vẫn là tiêu_chuẩn vàng để chẩn_đoán bệnh . Hội tim_mạch châu_Âu ( ESC ) định_nghĩa bệnh cơ tim phì đại ở người_lớn khi bất_kỳ vùng nào của cơ tim dày trên 15 mm ( được đo bằng siêu_âm tim , cộng_hưởng từ , chụp cắt_lớp ) mà không_thể giải_thích được bằng sự tăng gánh đơn_thuần . Còn bệnh cơ tim phì đại ở trẻ sơ_sinh , trẻ_em được chẩn_đoán khi thành tim dày hơn hai lần trị_số tham_chiếu . Ngoài_ra trên siêu_âm tim còn thấy sự phì đại lệch tâm , có_thể xác_định được mức_độ tắc_nghẽn , chênh áp qua đường ra thất trái , dấu_hiệu SAM . Điện_tâm_đồ : điện_tâm_đồ có bất_thường trong hơn 95 % số trường_hợp . Có_thể thấy dấu_hiệu dày thất trái , các biến_đổi ST-T , sóng Q bệnh_lý , các rối_loạn nhịp như hội_chứng WPW , rung nhĩ , ngoại tâm thu thất . Cộng_hưởng từ tim : cũng là phương_tiện rất hữu_ích để xác_định bệnh cơ tim phì đại vùng mỏm , bằng_chứng các sẹo , xơ ở cơ tim . Holter điện_tâm_đồ : để phát_hiện các rối_loạn nhịp nguy_hiểm như nhịp nhanh thất . Nhịp nhanh thất là nguy_cơ của đột_tử . Xét_nghiệm gen : còn tương_đối ít làm tại Việt_Nam . nan . nan . nan . nan .","Ông Tuấn là một người đã nghỉ hưu , gần đây ông cảm_thấy tim đập không đều , hay bị chóng_mặt và có lúc ngất_xỉu . Ông lo_ngại rằng những triệu_chứng này có_thể liên_quan đến bệnh cơ tim phì đại . Ông Tuấn muốn tìm_hiểu về các biện_pháp chẩn_đoán nhầm xác_thực nghi_ngờ .",Siêu_âm doppler tim .,Cộng_hưởng từ tim .,Holter điện_tâm_đồ .,Xét_nghiệm gen .,"A , B , C , D."
"Người mắc chứng rối_loạn ăn_uống có_thể có các hành_vi ăn_uống rối_loạn đi kèm với những nỗi lo_lắng thái_quá về cân nặng , hình_dáng , việc ăn_uống và hình_ảnh cơ_thể . Họ có_thể biểu_hiện tổng_hợp các triệu_chứng này : Những dấu_hiệu cảnh_báo về thể_chất : Giảm cân nhanh_chóng hoặc thay_đổi liên_tục về cân nặng . Ngất_xỉu hoặc chóng_mặt . Luôn_luôn cảm_thấy mệt_mỏi và ngủ không ngon . Hầu_như lúc_nào cũng cảm_thấy lạnh , kể_cả khi thời_tiết ấm . Những dấu_hiệu cảnh_báo về tâm_lý : Quá bận_tâm về việc ăn_uống , thực_phẩm , hình_thể và cân nặng . Cảm_thấy lo_lắng về các lần ăn_uống . Cảm_thấy ‘ mất kiểm_soát ’ về thực_phẩm . Có suy_nghĩ méo_mó về hình_ảnh cơ_thể . Cảm_thấy bị ám_ảnh về hình_thể , cân nặng và diện_mạo . Những suy_nghĩ khắt_khe về thực_phẩm là ‘ tốt ’ hay ‘ xấu ’ . Những thay_đổi trong tình_trạng cảm_xúc và tâm_lý ( ví_dụ : suy_sụp , căng_thẳng , lo_lắng , cáu_kỉnh , tự_trọng thấp ) Sử_dụng thực_phẩm làm nguồn vui ( ví_dụ : ăn như một_cách để giải_quyết sự buồn chán , căng_thẳng hoặc suy_sụp ) Sử_dụng thực_phẩm làm cách trừng_phạt bản_thân ( ví_dụ : từ_chối ăn vì suy_sụp , căng_thẳng hoặc các lý_do cảm_xúc khác ) Những dấu_hiệu cảnh_báo về hành_vi : Hành_vi ăn_kiêng ( ví_dụ : nhịn ăn , tính calo , tránh các nhóm thực_phẩm như chất_béo và hy-đrát-các-bon ) Ăn_uống kín_đáo và tránh các bữa ăn với người khác . Bằng_chứng của háu ăn ( ví_dụ : sự biến mất của một khối_lượng lớn thực_phẩm ) Những thay_đổi trong phong_cách ăn_mặc ( ví_dụ : mặc quần_áo rộng thùng_thình ) Tập_thể_dục cưỡng_ép hoặc quá mức ( ví_dụ : tập_thể_dục trong thời_tiết xấu , bất_kể ốm_đau , bị_thương hay các sự_kiện xã_hội . và cảm_thấy đau_khổ nếu không_thể tập_thể_dục ) • Lập các danh_sách thực_phẩm tốt hoặc xấu . Bỗng_nhiên không thích thực_phẩm mà họ đã từng luôn thích trước_đây . Những thói_quen ám_ảnh liên_quan đến việc chuẩn_bị đồ_ăn và ăn_uống mà các thói_quen đó không phải là do truyền_thống văn_hoá . Sự nhạy_cảm thái_quá với những bình_luận về hình_thể , cân nặng , việc ăn_uống và tập_thể_dục . Hành_vi bí_mật xung_quanh thực_phẩm ( ví_dụ : nói rằng họ đã ăn trong khi họ chưa ăn thực_phẩm nào đó , giấu thực_phẩm chưa ăn ) Biến_chứng . Chán ăn có_thể có nhiều biến_chứng . Ở mức nghiêm_trọng nhất , nó có_thể gây tử_vong . Cái chết có_thể xảy ra đột_ngột - ngay cả khi người_bệnh không bị thiếu cân trầm_trọng . Điều này có_thể xảy ra do nhịp tim bất_thường do rối_loạn nhịp tim hoặc mất cân_bằng điện giải như các khoáng_chất như natri , kali và canxi duy_trì sự cân_bằng chất_lỏng trong cơ_thể con_người . Các biến_chứng khác của chán ăn bao_gồm : Thiếu máu . Các vấn_đề về tim , chẳng_hạn như hở van hai lá , nhịp tim bất_thường hoặc suy tim . Loãng_xương , làm tăng nguy_cơ gãy xương . Mất cơ_bắp . Ở nữ_giới , không có kinh_nguyệt . Ở nam_giới , giảm testosterone . Các vấn_đề về đường tiêu_hoá , chẳng_hạn như táo_bón , đầy hơi hoặc buồn_nôn . Bất_thường điện giải , chẳng_hạn như kali máu , natri và clorua thấp . Vấn_đề về thận . Nếu một người chán ăn trở_nên suy_dinh_dưỡng nghiêm_trọng , mọi cơ_quan trong cơ_thể đều có_thể bị tổn_thương , bao_gồm não , tim và thận . Tổn_thương này có_thể không hoàn_toàn hồi_phục , ngay cả khi chứng chán ăn đã được kiểm_soát . Ngoài các biến_chứng về thể_chất , những người mắc chứng chán ăn cũng thường bị các rối_loạn sức_khoẻ tâm_thần khác . Chúng có_thể bao_gồm : Trầm_cảm , lo_lắng và rối_loạn tâm_lý khác . Rối_loạn nhân_cách . Rối_loạn ám_ảnh cưỡng_chế . Lạm_dụng rượu và chất gây nghiện . Tự gây thương_tích , suy_nghĩ tự_tử hoặc cố_gắng tự_tử . nan . nan . nan . nan .","Chán ăn có_thể có nhiều biến_chứng . Ở mức nghiêm_trọng nhất , nó có_thể gây tử_vong . Cái chết có_thể xảy ra đột_ngột - ngay cả khi người_bệnh không bị thiếu cân trầm_trọng . Điều này có_thể xảy ra do nhịp tim bất_thường do rối_loạn nhịp tim hoặc mất cân_bằng điện giải như các khoáng_chất như natri , kali và canxi duy_trì sự cân_bằng chất_lỏng trong cơ_thể con_người . Các biến_chứng khác của chán ăn bao_gồm ?",Nữ_giới không có kinh_nguyệt . Nam_giới giảm testosterone .,"Rối_loạn tiêu_hoá : táo_bón , đầy hơi hoặc buồn_nôn . Bất_thường điện giải : kali máu , natri và clorua thấp .","Loãng_xương , làm tăng nguy_cơ gãy xương . mất cơ_bắp .","Thiếu máu . các vấn_đề về tim : hở van hai lá , nhịp tim bất_thường hoặc suy tim .","A , B , C , D."
"Nguyên_nhân bệnh gout gồm hai nguyên_nhân chính : nguyên_phát ( đa_số các trường_hợp ) và thứ_phát . Nguyên_phát : 95 % các trường_hợp xảy ra ở nam_giới , độ tuổi thường gặp là 30-60 tuổi . Chưa rõ nguyên_nhân . Chế_độ ăn thực_phẩm có chứa nhiều purin như : gan , thận , tôm , cua , lòng_đỏ trứng , nấm . được xem là làm nặng thêm bệnh . Thứ_phát . Do các rối_loạn về gen ( nguyên_nhân di_truyền ) : hiếm gặp . Do tăng_sản xuất acid uric hoặc giảm đào_thải acid uric hoặc cả hai : Suy thận và các bệnh_lý làm giảm độ thanh_lọc acid uric của cầu thận . Các bệnh về máu : bệnh_bạch_cầu cấp . Dùng thuốc lợi_tiểu như furosemid , thiazid , acetazolamid , Sử_dụng các thuốc ức_chế tế_bào để điều_trị các bệnh ác_tính . Dùng thuốc kháng lao như ethambutol , pyrazinamid . nan . nan . nan . Trái bơ : Việc bổ_sung nhữngchất béo_tốt được xem là tăng_cường chất chống oxy_hoá cho cơ_thể . Bơ là loại trái_cây có chứa nhiềuvitamin E , một chất chống viêm có khả_năng giúp người_bệnh hạn_chế khả_năng bùng_phát cơn gút cấp .","Chú Tùng đến bệnh_viện xét_nghiệm máu và nước_tiểu , sau khi có kết_quả xét_nghiệm bác_sĩ chẩn_đoán chú mắc bệnh gout . Chú hỏi bác_sĩ về chế_độ ăn_uống cho người bị bệnh gout thế_nào cho hợp_lý và phòng_ngừa mắc các đợt gout cấp . Hỏi thực_phẩm nào sau đây tốt cho người mắc bệnh gout ?","Gan , thận động_vật .","Tôm , cua .",Nấm .,Quả bơ .,D.
"Chẩn_đoán trước sinh : siêu_âm thai kiểm_tra dấu_hiệu tắc_nghẽn trong hệ_thống tiêu_hoá của thai cũng như các bất_thường khác ở trẻ . Thai có quá nhiều nước_ối có_thể là dấu_hiệu của hẹp hậu_môn hoặc tắc_nghẽn khác trong đường tiêu_hoá . Hẹp hậu_môn ở trẻ sơ_sinh thường được chẩn_đoán ngay sau khi sinh bằng cách tầm soát : Các bác_sĩ sẽ kiểm_tra dạ_dày của trẻ nếu trẻ có dấu_hiệu chướng bụng đồng_thời kiểm_tra lỗ hậu_môn . Xét_nghiệm : chụp X-quang bụng , siêu_âm bụng , siêu_âm tim và chụp cộng_hưởng từ ( MRI ) nếu cần để tìm các bất_thường khác đi kèm . nan . nan . nan . nan .",Bệnh hẹp hậu_môn ở trẻ_em có_thể chẩn_đoán bằng nhiều cách khác nhau . Trong các biện_pháp chẩn_đoán trên thì đâu là biện_pháp giúp cho các bác_sĩ có_thể loại_bỏ những bất_thường đi kèm với bệnh hẹp hậu_môn ?,Xét_nghiệm bụng .,Siêu_âm thai .,Tầm soát .,Kiểm_tra lỗ hậu_môn .,A.
"Sởi là gì ? Sởi là loại bệnh truyền_nhiễm cấp_tính do virus gây ra có_thể gặp ở nhiều đối_tượng đặc_biệt là trẻ_em . Sởi rất dễ lây_lan và bùng_phát thành ổ dịch , mặc_dù phần_lớn trẻ mắc bệnh đều có_thể hồi_phục sau một thời_gian nhưng ở những trẻ có sức đề_kháng kém như trẻ nhũ nhi thì bệnh có_thể diễn_tiến nặng và gây ra biến_chứng về sau . nan . nan . nan . nan .","Chị Hường năm nay 35 tuổi được biết rằng : trước khi có vắc_xin , bệnh sởi từng là cơn ác_mộng khiến 2,9 triệu người chết mỗi năm . Năm 2014 , đại_dịch sởi tấn_công Việt_Nam , bệnh_nhi nằm tràn_lan ở bệnh_viện , thai_phụ sinh non , trẻ tử_vong vì sởi là nỗi ám_ảnh kinh_hoàng của hàng triệu người . Đến nay , sởi vẫn là bệnh truyền_nhiễm nguy_hiểm gây dịch và là một trong những nguyên_nhân hàng_đầu gây tử_vong ở trẻ dưới 5 tuổi . Vậy bệnh sởi không do yếu_tố nào gây ra sau đây ?",Do virus gây ra .,Do vi_khuẩn gây ra .,Do nhiễm nấm .,Do viêm_nhiễm da .,"B , C , D."
"Phụ_thuộc vào triệu_chứng lâm_sàng và thời_kỳ mắc bệnh . Nhiễm giun_chỉ có ấu_trùng trong máu , không có triệu_chứng lâm_sàng : dùng thuốc_đặc_hiệu theo phác_đồ . Điều_trị nhiễm giun_chỉ có ấu_trùng trong máu , thời_kỳ cấp_tính : Điều_trị triệu_chứng : hạ sốt , giảm đau , nghỉ_ngơi . Không dùng thuốc điều_trị đặc_hiệu DEC vì có_thể gây viêm mạch , viêm hạch bạch_huyết phản_ứng . Kháng_sinh chống bội_nhiễm . Sau thời_kỳ cấp_tính , sử_dụng thuốc DEC theo phác_đồ . Nhiễm giun_chỉ bị phù chân_voi : Uống thuốc diệt giun_chỉ nếu có ấu_trùng trong máu . Phòng bội_nhiễm : rửa chi phù bằng nước_sạch , thấm khô bằng khăn mềm sạch ngày 2 lần . Vận_động , xoa_bóp chân giúp tăng_cường lưu_thông tuần_hoàn . Ngủ gác cao chân tránh ứ_trệ tuần_hoàn . Sử_dụng kháng_sinh tại_chỗ hoặc toàn_thân nếu bội_nhiễm tuỳ mức_độ . Chế_độ dinh_dưỡng : Uống thuốc diệt giun_chỉ nếu có ấu_trùng trong máu . Ăn_kiêng mỡ và thức_ăn nhiều protein . Có_thể hội_chẩn điều_trị ngoại_khoa ( đốt vi_mạch bạch_huyết quanh thận , cắt bỏ bó mạch bạch_huyết quanh cuống thận . ) . nan . nan . nan . nan .","Chị Khánh mắc bệnh giun_chỉ phù chân_voi và đang được bác_sĩ kê thuốc diệt giun và hướng_dẫn xoa_bóp chân . Bên cạnh đó , chị nên làm gì để tránh ứ_trệ tuần_hoàn ?",Kiêng thức_ăn có mỡ .,Ngủ gác cao chân .,Sử_dụng thuốc DEC .,Đốt vi_mạch bạch_huyết quanh thận .,B.
